Column1,property,gene_entrez_id,gene_symbol,beta_gene,beta_gene|class,slope_exc,slope_inh,pval_gene,pval_gene|class_anova,pval_int_anova,model1_aic,model2_aic,model3_aic,model4_aic,FDR_gene,FDR_gene|class_anova,FDR_int_anova,beta_gene_inh_only,pval_gene_inh_only,inh_only_aic,FDR_gene_inh_only,n_significant_0.1_g|c,n_significant_0.1_int
1931,rmp,80982,CEMIP,-0.363614578,-0.654255237,-1.832404147,-0.636132484,0.099167285,0.001946315,0.468533089,223.1916806,218.085394,209.7336306,211.1538869,0.308303222,0.072863917,0.908255731,-0.636132484,0.003230492,148.2669127,0.098863317,13,0
1933,rmp,12615,CENPA,0.069319714,-0.717331146,1.150492525,-0.833645116,0.632806991,0.001062042,0.021185342,225.8188243,218.085394,208.5297274,204.669855,0.813599374,0.056669564,0.828938629,-0.833645116,0.000165894,142.3258756,0.024654518,12,1
1974,rmp,223753,CERK,-0.21551664,-0.738820277,-0.905871573,-0.713655984,0.321948997,0.001178268,0.76487882,225.0247933,218.085394,208.7367652,210.6380695,0.577832905,0.058010693,0.960775695,-0.713655984,0.0043512,148.8507721,0.11573153,13,1
2084,rmp,12704,CIT,-0.384635566,-0.783352927,-0.655520463,-0.8085329,0.160945469,0.003308231,0.825084667,223.9865268,218.085394,210.7798052,212.7259105,0.402010926,0.091803407,0.974687344,-0.8085329,0.006576831,149.6554256,0.138452092,3,0
2089,rmp,12708,CK-PS3,-1.621661727,-1.938695701,-1.017330476,-2.280629938,0.011156916,0.000957427,0.311432879,219.2669088,218.085394,208.3227512,209.1922701,0.090455471,0.05536106,0.883859712,-2.280629938,0.000966267,145.8744698,0.059456284,13,5
2111,rmp,74374,CLEC16A,-1.855218661,-1.629478544,-1.507953494,-1.643294918,0.000983578,0.002370757,0.936509762,214.6079819,218.085394,210.1236391,212.1166379,0.025811639,0.078660176,0.990151274,-1.643294918,0.004298021,148.8267238,0.11573153,13,2
2143,rmp,12759,CLU,1.35893704,1.161093202,0.678522259,1.696156847,6.83E-05,0.002363725,0.160782129,209.3369372,218.085394,210.1177741,209.9476891,0.007127745,0.078640541,0.85327685,1.696156847,0.002443759,147.7171977,0.088061237,13,8
2169,rmp,245684,CNKSR2,-0.570059665,-1.199514613,-1.907054652,-1.051923832,0.0001752,0.001809682,0.377559671,211.2111327,218.085394,209.5894602,210.7303509,0.011199968,0.069569479,0.891310971,-1.051923832,0.016606037,151.4324877,0.210317838,2,0
2185,rmp,12799,CNP,1.165202057,0.996045534,1.785495203,0.847653263,0.000740807,0.002870415,0.283461502,214.0536354,218.085394,210.500668,211.2313564,0.022732081,0.084403659,0.877513713,0.847653263,0.025212443,152.2181413,0.260874365,5,0
2279,rmp,107684,CORO2A,-0.186015145,1.607668104,-0.626713056,1.925512329,0.561725655,0.001289416,0.071406493,225.7044219,218.085394,208.9162697,207.3301265,0.771330437,0.060922716,0.852334018,1.925512329,0.000245513,143.1198328,0.030200551,13,0
2280,rmp,235431,CORO2B,-1.009610196,-0.873385337,-0.688514458,-0.933970805,0.000209499,0.000974455,0.673840028,211.5654317,218.085394,208.3579535,210.1624989,0.012205982,0.05536106,0.941616553,-0.933970805,0.00268425,147.9023356,0.092297626,11,0
2298,rmp,12862,COX6A2,-0.083779989,-0.376335652,0.820176777,-0.378454428,0.470155517,0.002525817,0.673555937,225.5093932,218.085394,210.2486587,212.0528427,0.703221605,0.080313084,0.941616553,-0.378454428,0.00265473,147.8805374,0.091671405,14,0
2307,rmp,232680,CPA2,2.456273862,2.156137666,2.175878775,2.151509253,8.31E-06,0.000195816,0.98589396,205.1125538,218.085394,205.1289164,207.1285715,0.002536617,0.025708704,0.997264616,2.151509253,0.001077637,146.0922013,0.060157166,7,0
2320,rmp,74020,CPNE4,0.366310877,0.689234769,0.127036463,1.345137638,0.079668155,0.000618386,0.00066367,222.8195894,218.085394,207.4477222,196.6647017,0.271641488,0.044677492,0.279405147,1.345137638,6.96E-07,131.0735566,0.00268441,10,6
2333,rmp,432508,CPSF6,-1.446238737,-1.924434963,-2.647563433,-1.658554063,0.01931811,0.000761257,0.416616589,220.2874346,218.085394,207.8642926,209.1362524,0.123623751,0.04997284,0.897048058,-1.658554063,0.018047415,151.5899793,0.218810836,12,1
2359,rmp,68337,CRIP2,0.023363457,0.53998789,0.384913039,0.578115662,0.862238026,0.001159678,0.626627283,226.0278608,218.085394,208.7050773,210.4439513,0.941001635,0.057464402,0.934592883,0.578115662,0.002131847,147.4474147,0.080329673,14,4
2392,rmp,94109,CSMD1,-1.346125425,-1.40433884,-2.485433555,-1.283419651,5.75E-07,3.48E-05,0.240921939,199.7053906,218.085394,201.611415,202.0941087,0.000637806,0.013289905,0.8690094,-1.283419651,0.000493782,144.5290077,0.042768088,5,0
