Column1,Gad2-IRES-Cre__L5__inh,Sst-IRES-Cre__L6__inh,Nos1-CreERT2|Sst-IRES-FlpO__L5-L6__inh,Oxtr-T2A-Cre__L5-L6__inh,Rbp4-Cre_KL100__L4__exc,Sim1-Cre_KJ18__L4-L6__exc,Chrna2-Cre_OE25__L5__inh,Tlx3-Cre_PL56__L4-L6__exc,Chrna2-Cre_OE25|Pvalb-T2A-Dre__L5-L6__inh,Chat-IRES-Cre-neo__L2/3__inh,Htr3a-Cre_NO152__L4__inh,Sst-IRES-Cre__L4__inh,Pvalb-IRES-Cre__L4__inh,Htr3a-Cre_NO152|Pvalb-T2A-Dre__L5-L6__inh,Vip-IRES-Cre__L6__inh,Vip-IRES-Cre__L5__inh,Penk-IRES2-Cre-neo__L5-L6__exc,Ndnf-IRES2-dgCre__L1__inh,Chrna2-Cre_OE25__L6__inh,Htr3a-Cre_NO152__L2/3__inh,Nos1-CreERT2__L1-L4__inh,Nr5a1-Cre__L4__exc,Pvalb-IRES-Cre__L6__inh,Ntsr1-Cre_GN220__L6__exc,Vip-IRES-Cre__L4__inh,Pvalb-IRES-Cre__L5__inh,Nkx2-1-CreERT2__L5-L6__inh,Chat-IRES-Cre-neo__L4__inh,Gad2-IRES-Cre__L1__inh,Vip-IRES-Cre__L1-L2/3__inh,Vipr2-IRES2-Cre__L1-L6__inh,Nkx2-1-CreERT2__L1-L4__inh,Scnn1a-Tg2-Cre__L4__exc,Sst-IRES-Cre__L1-L2/3__inh,Oxtr-T2A-Cre__L1-L4__inh,Rbp4-Cre_KL100__L5__exc,Htr3a-Cre_NO152__L5-L6__exc,Ctgf-T2A-dgCre__L6__exc,Vipr2-IRES2-Cre__L1-L6__exc,Nos1-CreERT2__L5-L6__inh,Htr3a-Cre_NO152__L6__inh,Scnn1a-Tg3-Cre__L2/3-L4__exc,Sst-IRES-Cre__L5__inh,Oxtr-T2A-Cre__L5-L6__exc,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre__L1-L4__inh,Esr2-IRES2-Cre__L5-L6__exc,Pvalb-IRES-Cre__L2/3__inh,Htr3a-Cre_NO152__L5__inh
ri,200.8609857,241.7109394,300.0227754,192.6004613,163.2132207,148.2614407,277.6193069,178.5453333,158.6327963,210.9255948,245.9620418,209.0862779,115.4694023,144.4129005,240.4918655,240.3750779,154.740517,187.0147481,199.0155932,175.5419085,160.9570468,184.9221208,116.4644283,163.6802322,233.4514381,115.7004015,185.5391662,202.6302152,298.243463,233.2417495,178.0813059,122.2142105,152.7127498,206.7589353,197.6395359,157.9166946,233.9062552,178.3689827,182.8069487,260.7544452,220.8007844,180.3674711,239.6896662,197.4633214,142.2635505,151.3593808,80.78993112,227.2510379
sag,0.102354908,0.101243434,0.039156617,0.062151125,0.093762465,0.0947593,0.093459542,0.082095602,0.076218508,0.075251268,0.088635095,0.06897259,0.048752976,0.026685104,0.039302616,0.040689239,0.082313482,0.048570131,0.097538845,0.111523679,0.061165844,0.044203177,0.080558049,0.125011595,0.082677604,0.044792192,0.042900474,0.063508052,0.07680755,0.099092193,0.054693123,0.018725401,0.059384016,0.133415398,0.132949981,0.08623912,0.059148501,0.082850977,0.05315789,0.041927924,0.145139913,0.044596487,0.101384126,0.051744484,0.053237561,0.028099707,0.05288921,0.067592463
f_i_curve_slope,0.503031836,0.542269801,0.161288868,0.241714336,0.127043153,0.174501661,0.373752396,0.157581207,1.060876673,0.154478559,0.205272866,0.424227671,0.943873574,0.89790282,0.208281603,0.229794953,0.202765861,0.33262815,0.539618235,0.232554181,0.24948995,0.179729431,1.121200603,0.162186424,0.103285211,1.098091116,0.344192082,0.118116243,0.300887186,0.231049441,0.589666462,0.74538694,0.159091806,0.344765571,0.309552286,0.14656312,0.190412178,0.188693398,0.196573901,0.228317844,0.343654405,0.173983278,0.298020092,0.179181651,0.696497957,0.112031169,0.782302213,0.265133886
avg_isi,26.04015291,41.690893,101.8493881,48.80660305,118.15826,94.18676509,50.19256774,90.82366332,11.75287185,108.4564918,38.84976343,59.7586815,15.24911502,19.48573416,43.89421402,30.64937453,77.41261738,43.61017154,40.92102335,57.34109178,78.44867312,76.9325662,14.56185521,99.74686664,67.1248151,25.34224098,48.87840297,101.5390345,46.11928935,44.46914117,40.99089413,23.39293519,93.80986827,48.95379767,58.41662739,94.5994632,89.32600408,81.38666206,80.64640161,50.41963388,51.13329473,75.5915024,51.33492173,83.72085179,39.03605882,125.285187,19.33751557,51.52446962
latency,0.012182143,0.030791176,0.038256,0.035003333,0.055332381,0.04678,0.029960517,0.054472683,0.008785,0.012347556,0.016534524,0.026443478,0.017498768,0.010178,0.019842759,0.018388824,0.040945,0.040693333,0.018028,0.0343595,0.0761875,0.042470364,0.007237273,0.033902745,0.01701375,0.02303241,0.091680769,0.012226667,0.015868571,0.018259375,0.018778182,0.100211818,0.06121,0.030849667,0.029873333,0.047033364,0.033892857,0.061971163,0.0438725,0.029264,0.0640325,0.045623362,0.026163182,0.048342857,0.0347808,0.0443385,0.086731786,0.043922436
isi_cv,0.473990251,0.261057865,0.501750634,0.096970158,0.23026115,0.184570029,0.355655316,0.175453126,0.081670016,0.530874013,0.550303455,0.573062617,0.595616256,0.433194646,0.583900023,0.341148504,0.206779447,0.168810426,0.679962305,0.308137575,0.251722407,0.300844628,0.734554372,0.311891941,0.679097436,0.279183602,0.209239778,0.526414281,0.400436701,0.432354071,0.635975659,0.255679727,0.205012659,0.290341182,0.372951743,0.208495858,0.472255393,0.216525576,0.176144047,0.476767507,0.278330494,0.260136897,0.422452428,0.190312522,0.334676087,0.255781223,0.475131772,0.28792126
ri_log10,2.30289559,2.383296306,2.477154224,2.284657323,2.212755335,2.171028216,2.443449666,2.251748503,2.20039298,2.324129282,2.39086809,2.320325531,2.062466918,2.159605991,2.381100391,2.380889438,2.189604044,2.271875857,2.298887105,2.244380816,2.206709995,2.266988866,2.066193299,2.213996232,2.368196554,2.063334866,2.268435601,2.306704206,2.474570933,2.36780629,2.250618332,2.087121706,2.183875297,2.315464287,2.295873825,2.198428045,2.369041836,2.251319335,2.2619927,2.416231721,2.344000612,2.256158216,2.379649311,2.295486438,2.153093643,2.180009342,1.907357238,2.356505875
tau_log10,1.21065115,1.316205329,1.636079383,1.235904373,1.317707566,1.300575608,1.403847824,1.400309847,0.996287274,1.062459116,1.255831836,1.269386141,0.858722138,0.972733556,1.166922389,1.19539107,1.348420427,1.037599443,1.19822012,1.036070926,1.075801376,1.324653194,0.877788907,1.210589093,1.20307413,0.942572522,1.028664992,1.096718127,1.180425486,1.13568397,1.068358024,0.945987271,1.3677106,1.318019463,1.20136471,1.315017175,1.389416561,1.319598942,1.337183753,1.596404352,1.193776188,1.365503426,1.370809136,1.353570003,1.043512354,1.333098984,0.771570666,1.269153641
cap_log10,-1.237412875,-1.071235042,-0.740936422,-1.054843413,-0.838130773,-0.950379595,-1.080528405,-0.861126442,-1.326154378,-1.37100472,-1.209174681,-1.071351637,-1.333415884,-1.341031935,-1.423579439,-1.32772295,-1.046542344,-1.346921829,-1.226864721,-1.27463378,-1.219980227,-0.916012408,-1.33803334,-0.98105255,-1.272052973,-1.276204562,-1.327825862,-1.331784615,-1.428752387,-1.374451728,-1.297009851,-1.287946553,-0.800511773,-1.02595926,-1.177319261,-0.862429624,-0.926292009,-0.908564549,-0.954400631,-0.754107157,-1.227515107,-0.896118382,-1.019560879,-0.988080808,-1.216326328,-0.860621293,-1.31491249,-1.151272158
rheo_log10,2.278753601,2.131278914,1.696481204,2.166331422,2.089400409,2.030144142,1.807114945,1.974927108,2.306425028,2.026215383,1.908229628,2.055743861,2.448952638,2.322219295,1.605787864,1.650364669,1.935759104,2.106164736,2.222716471,2.147013443,2.070037867,2.025305863,2.440049943,2.234437877,1.896250562,2.437330234,2.079181246,1.980255941,1.817659792,1.847032534,2.05897786,2.345997141,2.061876387,1.979244778,2.101026579,2.131793582,2.132625565,2.001008814,2.023766722,1.851258349,1.966141733,2.021189299,1.996697366,1.875061263,2.277838333,2.217483944,2.568201724,2.108773114
maxfreq_log10,1.897627091,1.874336835,1.335601161,1.605664116,1.266612431,1.422220385,1.683730038,1.350732452,2.156473431,1.354108439,1.493458051,1.778465843,2.17091332,2.079181246,1.548749363,1.597566143,1.45293587,1.671623737,1.895974732,1.55721546,1.545616333,1.397307848,2.173799462,1.366148174,1.328634396,2.200749729,1.701966299,1.169609132,1.6734159,1.55517005,1.901606908,2.027349608,1.344269435,1.677346193,1.692301244,1.332622055,1.255272505,1.427229385,1.433369747,1.478566496,1.729367305,1.39221164,1.667014935,1.423245874,1.980639567,1.238046103,2.1407226,1.569403924
ahpamp_log10,1.312887343,1.317287361,1.228230762,1.25401406,0.961505882,0.925207358,1.185321138,1.046478525,1.380917552,0.962408833,1.147648725,1.186738355,1.361137395,1.402637484,1.100786364,1.053770271,0.855159279,1.136578314,1.276892447,1.164206776,1.122087864,1.084718435,1.359091358,1.114086635,0.993074429,1.354299415,1.262462525,0.994842431,1.079504301,1.064443382,1.241696451,1.287400906,0.998725814,1.261262863,1.197854652,0.955611259,1.077238111,0.91338256,1.044313112,1.224014821,1.20970347,1.060616474,1.223535779,0.865653746,1.254819914,0.882506734,1.366756408,1.17313491
adratio_log10,-0.22599294,-0.203139905,-0.353761791,-0.243729931,-0.406072835,-0.302075876,-0.395998269,-0.280820267,-0.061902128,-0.392376041,-0.332240078,-0.342671324,-0.125007655,-0.076904425,-0.414732708,-0.374357752,-0.570622807,-0.200153331,-0.159040435,-0.267722974,-0.188665697,-0.382633423,-0.085151516,-0.377602151,-0.371623964,-0.102835884,-0.143119849,-0.213706675,-0.479228247,-0.386945805,-0.24320829,0.077283844,-0.327245641,-0.222098688,-0.243211518,-0.438219735,-0.328136145,-0.306899339,-0.33342357,-0.301267875,-0.166328402,-0.367612974,-0.260466168,-0.368789753,-0.180930126,-0.248217071,-0.064079233,-0.297353213
f_i_curve_slope_log10,-0.298404528,-0.265784581,-0.792395606,-0.616697591,-0.896048736,-0.758200434,-0.427416015,-0.802495576,0.0256649,-0.811131789,-0.687668454,-0.372401007,-0.025086173,-0.046770664,-0.681349088,-0.638659514,-0.693005163,-0.478041,-0.267913383,-0.633475848,-0.602946943,-0.745380801,0.049683323,-0.789985503,-0.985961861,0.040638378,-0.463199125,-0.927690376,-0.521596308,-0.636295079,-0.229393573,-0.127618221,-0.798352187,-0.462476111,-0.509265985,-0.833975298,-0.72030528,-0.724243296,-0.706474145,-0.641460145,-0.463878085,-0.75949249,-0.525754456,-0.746706466,-0.157080153,-0.950661132,-0.106625441,-0.576534763
avg_isi_log10,1.41564353,1.620041198,2.007958424,1.688478582,2.072464087,1.973989881,1.700639414,1.958199015,1.070144001,2.035255553,1.589388379,1.776401007,1.18324464,1.289716773,1.642407277,1.486421616,1.888811752,1.639587795,1.611946486,1.758465958,1.894585602,1.886110219,1.163216709,1.998899262,1.826883102,1.403845016,1.689117008,2.00663303,1.663882607,1.648058742,1.612687392,1.369084718,1.972248526,1.689786389,1.76653648,1.975888672,1.950977907,1.910553237,1.906584994,1.702599688,1.708703777,1.878472977,1.710412904,1.922833638,1.591465964,2.097899726,1.286400676,1.71201353
latency_log10,-1.914276312,-1.511573717,-1.417300441,-1.455890596,-1.257020642,-1.329939783,-1.523450693,-1.263821234,-2.056258234,-1.908419011,-1.781608308,-1.57768142,-1.756992524,-1.992337553,-1.702397951,-1.735446055,-1.387799125,-1.390476734,-1.744052451,-1.463953165,-1.118116277,-1.371914021,-2.140425061,-1.469765136,-1.769199953,-1.637660624,-1.037721751,-1.912691928,-1.799462169,-1.738514092,-1.72634646,-0.999081058,-1.213177621,-1.510749524,-1.524716315,-1.327593961,-1.469891819,-1.207810355,-1.357807617,-1.533666312,-1.193599542,-1.340812714,-1.582309441,-1.315667686,-1.458660433,-1.353219003,-1.061821712,-1.357313582
isi_cv_log10,-0.324230591,-0.583263218,-0.29951207,-1.013361895,-0.637779331,-0.73383882,-0.448970696,-0.755838889,-1.087937359,-0.275008533,-0.259397761,-0.241797921,-0.225033458,-0.36331692,-0.233661507,-0.467056528,-0.684492631,-0.772600733,-0.167515163,-0.511255339,-0.599078124,-0.521657739,-0.133976052,-0.505995847,-0.168067909,-0.554110093,-0.679355749,-0.278672338,-0.397466125,-0.364160448,-0.196559506,-0.592303706,-0.688219322,-0.53709136,-0.428347359,-0.680902568,-0.325823074,-0.664490797,-0.754132029,-0.321693351,-0.555439209,-0.584798044,-0.374222189,-0.720532636,-0.475375318,-0.59213134,-0.323185928,-0.540726266
sag_log10,-0.989891329,-0.994633132,-1.407194834,-1.206551008,-1.027970984,-1.023378158,-1.029376353,-1.085680106,-1.117939556,-1.12348618,-1.052394287,-1.161323466,-1.311998867,-1.573731104,-1.405578546,-1.390520436,-1.084529028,-1.313630722,-1.010822391,-0.952632912,-1.213491024,-1.354546514,-1.093891063,-0.903049703,-1.082612117,-1.348797679,-1.367537909,-1.197171206,-1.114596086,-1.003960558,-1.262067277,-1.727568871,-1.226330434,-0.874794043,-0.876311721,-1.064295683,-1.228056259,-1.081702365,-1.274432266,-1.377496645,-0.838213142,-1.350699355,-0.994030039,-1.286135943,-1.27378185,-1.551298205,-1.276632923,-1.170101727
E_PC1,2.743396142,1.224420726,-3.401328753,-0.07531928,-3.041860118,-2.731376884,-1.177388145,-2.837631691,5.046622743,-1.614864451,-0.588169024,0.287294099,5.939195949,4.932143759,-1.182075862,-0.904649309,-3.143810857,0.82122001,1.905110166,0.412677222,-0.15945627,-1.877952569,5.717776469,-1.469394842,-1.777847194,5.377165602,1.300133913,-1.485404101,-0.866394773,-0.683056529,2.051940512,4.721542526,-2.429425823,0.32856558,0.346223853,-2.72488048,-2.340571096,-3.178543711,-2.23701264,-2.008447311,0.174895244,-2.077380736,-0.231991662,-3.515195597,3.004922071,-2.644921448,6.273084678,-0.20198011
E_PC2,-1.88289074,-0.9546356,-1.341326544,1.059022889,1.726024789,1.075914483,-2.180331465,1.565482326,0.302698809,-1.532999637,-2.887771319,-2.314430245,0.258061579,0.036112001,-2.332349995,-1.930281292,1.017216536,1.373722927,-1.356654912,0.226610862,1.055685995,1.687271635,-1.821098961,1.612617524,-1.732111651,0.972055574,1.804711595,-1.12060878,-2.522214895,-2.183693496,-1.23948113,3.165968138,2.652388307,-1.148915902,-0.703982163,1.53936302,-0.179963931,0.795440392,1.732722158,-1.560563583,-1.023414004,1.820683536,-1.948969224,1.30857372,1.352907337,2.864877341,2.974498937,-0.081942937
E_PC3,-0.553636267,-0.138509654,4.097639988,0.301234423,-1.463878937,-1.290511038,-0.142488368,0.346823806,0.069848922,-1.578755555,0.338594914,-0.986491915,-0.241310301,0.908188747,0.667555534,0.529897471,-2.500011948,0.720019336,-0.509885314,-0.81755976,0.715493731,-0.613277127,-1.699129841,-1.43409331,0.003041601,-0.753734796,1.954992306,-0.47820399,0.393742279,-0.816729219,0.298844512,2.999748175,-0.150866792,0.154032077,-0.123413649,-1.396949985,1.091984156,-1.247457101,0.100825073,3.250588547,-0.106288368,0.231366491,-0.528631184,-0.029740565,0.23216859,1.149071306,-1.063125566,0.108978566
E_PC4,-0.887062886,-2.126644547,-0.90661179,-1.246967819,-0.53393199,-0.583834568,-1.242837179,-0.912480871,-1.087028961,2.16394202,0.064737572,-0.973761605,0.678770657,1.157238062,2.293020486,1.554155572,0.337642664,0.955245886,-0.406544483,0.263214755,0.253313086,0.36362101,0.119864957,-0.120030716,1.679131502,-0.300692557,0.515914327,2.177277855,1.305493736,0.938146451,0.802609892,0.692287515,-0.362081145,-1.992719862,-0.746846051,-0.496537958,-0.067722611,-0.634348606,-0.060241546,-1.280085106,-1.534517152,0.198848865,-1.625306582,0.562780959,0.177455367,1.113052199,0.237144279,-0.476073082
71661,0.067034291,0.145635958,0,0,0,0,0.0667957,0,0.128430997,0,0,0,0.048772877,0,0.041709539,0.047493715,0.126930966,0,0,0,0.017227853,0.025553306,0.182175371,0,0.108319222,0.063582967,0.496879355,0,0.086965286,0.070680412,0,0,0.105542186,0,0.096613511,0.045091746,0,0.006666667,0,0.144320312,0,0.014812734,0.129494879,0,0,0,0.14028005,0.033333333
76253,0.007100698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178997514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58520,6.723907702,6.877071855,7.242612008,5.774746032,5.882630348,6.369407415,7.308084406,6.828045757,6.563292234,6.743863001,7.160976822,6.424583559,6.750053612,5.873480141,6.554216734,6.814835684,7.496073207,7.476324317,6.940412322,6.127699775,6.223468339,6.367779143,6.864863818,7.007915826,7.025638412,6.363915663,5.944110242,6.884168184,6.870019945,6.277873402,7.052805657,6.39443566,5.982359567,6.705100089,6.108991963,6.69794701,7.310923563,7.314172553,7.075624977,7.252947724,7.571743402,5.782221643,6.734809107,6.801637791,6.947161869,6.768984135,6.794614087,6.67724226
66050,6.728733605,7.242950365,7.609240808,6.30063649,5.619917773,5.924905869,7.5012999,6.404306651,7.114444903,6.509763938,6.621072759,6.382645275,7.118076001,6.889453407,5.841920364,6.213746782,7.119869122,7.113444323,7.002058951,6.022746538,6.152254248,5.7777895,7.421050519,7.04042809,6.267463786,7.20262681,8.062399857,6.377868612,6.366465482,5.845622822,6.832382961,6.737037442,4.262057817,6.659448077,5.603592202,6.440278717,6.752455727,7.031971067,5.805627956,7.347260117,7.43972194,4.358146565,6.766755379,5.879645489,6.144417876,6.283164716,7.116015094,7.45046376
100125929,0.194910588,0.225132467,0.05,0.148381812,0.56214709,0.324436376,0.36280754,0.206596866,0.260886736,0.407271614,0.064516129,0.090909091,0.363645525,0.401050703,0.145356894,0.125424483,0.469844169,0.29258306,0.317856138,0.190233214,0.330174899,0.262998507,0.446461834,0.283376618,0.247988038,0.175416954,0.622112526,0,0.190608214,0.196622576,0.332422952,0,0.608485039,0.212770926,0.357800818,0.178059377,0.857138391,0.360581618,0.376564949,0.31294838,0.224779348,0.097124462,0.339359338,0.266347081,0.058823529,0.20160626,0.192166608,0.24726175
66838,1.81277778,2.334513706,3.534222852,2.421089929,1.717183311,2.178315428,1.942376436,1.171304327,2.738990064,1.460987692,0.612771044,2.779413409,3.383792397,2.859848439,2.079527745,1.518444048,1.484111041,1.909621297,2.367163671,0.632827898,2.076642273,1.052271561,3.673288224,1.341587957,0.772761982,2.932912604,3.476937155,3.422945998,1.288991866,1.146508265,2.258969084,2.256710287,1.153596424,2.302713125,1.556796316,1.66316861,1.460800547,2.400023231,1.706226383,3.60739251,1.321265809,0.627406293,2.017804269,1.601316896,1.788675216,1.224206895,2.958423434,2.074672072
66839,2.204346398,1.729974658,2.073466777,1.355276248,1.631692884,1.810833631,1.894681945,2.075543533,2.330543126,1.508467488,1.377946794,1.857369544,2.624124346,1.763470844,1.936442367,1.44959914,1.752248313,2.26418543,1.781620056,1.449974882,2.204572075,2.050565192,2.180102807,1.398564564,1.920601653,2.604761446,1.645562879,2.653558303,1.929526777,1.897973373,2.665546269,2.074657979,2.106511358,1.951200644,1.49249695,1.986618961,1.008535066,1.983287172,0.943648336,2.034233948,1.229061506,1.697491243,1.847631887,1.539200703,1.098160745,0.944433677,2.531832517,1.780803382
100039060,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0.010869565,0.004115226,0,0.010309278,0,0.004587156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014812734,0,0,0,0,0,0
